SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,# CREW,# PASS,LIVES LOST,SHIP VALUE,NATURE OF CARGO,USLSS STATION NAME,MISC INFORMATION
Condova,,,Schooner,,,5/8/1877,1877,5,8,Cape May Point,,,Stranded,,,"Bristol, RI","Bristol, RI","Philadelphia, PA",9,,0,"$3,500",In ballast,Cape May #40,#4259; Total loss
Coney Island,,Crystal Oil Co,Tanker,1938,"Marina Harbor, NY",9/10/1987,1987,9,10,Shark River Artificial Reef,40-06-285 N,73-41-365 W,Explosives,Steel,US,NJ AR,SR,1,,,,,,,Sponsor - NJ Marine Trades Assoc
Confidence (1842),,,Schooner,,,12/7/1842,1842,12,7,New Jersey coast,,,Wrecked; Abandoned,,,,"New York, NY","Egg Harbor, NJ",3,,0,,,,
Confidence (1919),,,Barge,1901,,1/26/1919,1919,1,26,"Newark, NJ",,,Burned,,,,,,1,,0,,,,#34413
Congress (1879),,,Schooner,1866,"Rio Grande, NJ",7/27/1879,1879,7,27,Townsends Inlet North bar,,,Stranded,Wood,US,"Bridgeton, NJ","Cape May, NJ","Philadelphia, PA",4,,0,"$3,000",Pinewood,Townsends Inlet #34,#5281; Refloated
Congress (1894),,,Schooner,1866,"Rio Grande, NJ",4/16/1894,1894,4,16,Hereford Inlet,,,Grounded,Wood,US,"Bridgeton, NJ","Hogs Island, VA","Hereford, NJ",3,,0,"$1,000",Oysters,,#5281; Refloated
Conquistadore,,A Lauro,Bark,1872,"Sorrento, Italy",6/26/1884,1884,6,26,Barnegat SE 20 mi,,,Lost sails in gale,,Italy,"Naples, Italy","Almeria, Italy","New York, NY",,,,,,,
Constellation (1844),,,Schooner,,,1844,1844,,,At sea,,,Lost at sea,,,"Great Egg Harbor, NJ","Philadelphia, PA","Providence, RI",,,,,Coal,,Never seen again
Constellation (1972),,Bernard C Elliot,Yacht sail,,,5/29/1972,1972,5,29,Cape May SE 50 mi,,,In distress; lost radio,,,,"Cape May, NJ",Bermuda,5,,1,,,,Towed in by USCG
Constitution (1877),,,Schooner,,,4/1/1877,1877,4,1,Cold Spring Inlet South bar,,,Stranded,,,"Port Republic, NJ","Port Republic, NJ","Riverton, NJ",3,,0,"$1,000",Guano & fish,Two Mile Beach #38,#5980Total loss
Constitution (1959),,American Export Lines,Passenger liner,1951,"Quincy, MA",3/1/1959,1959,3,1,Squan Inlet S 5 mi,,,"Collision w/ ""Jalanta"" in fog",,US,"New York, NY","Newport News, VA","New York, NY",116,0,0,,,USCG Cape May,"#262027; ""Jalanta"" sliced in two; both floating"
Content,,,Brig,,,9/8/1769,1769,9,8,Cape May,,,Stranded,,,,"Philadelphia, PA",Barbados,,,,,,,Crew saved
Continent,,,Freighter,,,1/11/1942,1942,1,11,Seabright E 7 mi,40-21-24 N,73-49-24 W,"Collision w/ ""Byron D Benson""",,,,,,,,1,,,,Sank; Total loss
Convoy,,,Barge,1914,,10/21/1953,1953,10,21,"New Gretna, ",,,Burned,,,,,,,,,,,,
Conway Brothers,,,Merchantman,1896,,6/29/1944,1944,6,29,Bayonne,,,Burned,,,,,,,,,,,,#77237
Coquette,,L R Smoot,Steamship,1863,,3/22/1868,1868,3,22,Little Egg Harbor,,,Stranded in gale,,,"Baltimore, MD","Philadelphia, PA","New York, NY",13,,,"$150,000",,,Ship lost; cargo saved
Cora (1855),,,Schooner,,,4/1855,1855,4,,Cape May Light,,,Grounded,,,,"Philadelphia, PA","Roxbury, MA",,,,,,,
Cora (1875),,,Schooner,,,11/8/1875,1875,11,8,Squan Beach,,,Leaking badly; Grounded,,,"Tuckerton, NJ","Egg Harbor, NJ","New York, NY",5,,0,"$16,000",Hop poles,Swan Point #11,#4524; Total loss
Cora A Lindsey,,,Schooner,,,1/21/1855,1855,1,21,Squan Inlet S 6.5 mi,,,Stranded,,,,"New Bern, NC","New York, NY",,,0,,Terpentine; reson,,Total loss
Cora Jean Snow,,Borden Co,Motor vessel,1953,"St Augustine, FL",1/21/1972,1972,1,21,Hereford Inlet,,,Foundered,Wood,US,"Philadelphia, PA","Philadelphia, PA",Fishing service,,,,,,,#266920; Total loss
Corbella (1857),,,Schooner,,,12/18/1857,1857,12,18,Shark River Inlet,40-11-15 N,74-00-00 W,Stranded,,Spain,,,,12,,,,,,
Cord,,,Schooner,,,,,,,Squan Inlet S 5.5 mi,,,Lost,,,,,,,,,,,,
Cordela Newkirk,,John Huntley,Schooner,1860,"Nacote Creek, Galloway, NJ",12/17/1877,1877,12,17,Barnegat SE 40 mi,,,Dismasted in hurricane,Wood,US,"Philadelphia, PA",Virginia,"New York, NY",7,0,0,"$8,000",150 tons pinewood,,#4962; Towed to Jersey City
Cordelia R Price (1875),C R Price,,Schooner,1872,"Bass River, NJ",11/18/1875,1875,11,18,Cold Spring Inlet North bar,,,Stranded,Wood,US,"Somers Point, NJ","Chincoteague, VA","New York, NY",4,,0,"$6,000",Oysters,2 mile Beach #38,"#125085, Refloated"
Cordelia R Price (1899),C R Price,,Schooner,1872,"Bass River, NJ",12/8/1899,1899,12,8,Great Egg LSS WSW .75 mi,,,Stranded,Wood,US,"Somers Point, NJ","Little Egg Harbor, NJ","Pleasantville, NJ",2,,0,"$2,000",,Great Egg,"#125085, Refloated"
Cordelia R Price (1900),C R Price,,Schooner,1872,"Bass River, NJ",2/16/1900,1900,2,16,Great Egg LSS WSW .75 mi,,,Stranded,Wood,US,"Somers Point, NJ","Pleasantville, NJ","James River, VA",3,,0,"$2,000",,,"#125085, Refloated"
Cordova,Condova,,Schooner,,,5/8/1877,1877,5,8,"Cape May Point, Sea Grove",38-55-47 N,74-55-00 W,Grounded,,,"Bristol, RI","Bristol, RI","Philadelphia, PA",9,,0,"$3,500",In ballast,Cape May #40,#4259; Total loss
Cordula,,,Schooner,,,1867,1867,,,Squan Beach,,,Stranded,,,,"Philadelphia, PA","Providence, RI",5,,,,Coal,,
Corinne,,,Steamship,1864,"Baltimore, MD",2/28/1877,1877,2,28,Hereford Inlet SE 8 mi,,,Hit sunken wreck,,,"New York, NY","Norfolk, VA","New York, NY",5,,0,"$8,500",Hydraulic pumps,Hereford #39,#4065; Total loss
Corinthia,,,Steamship,1903,,10/24/1925,1925,10,24,"Salem, NJ",,,Burned,,,,,,7,,0,,,,#127721
Corinthos,,N J Goulandris,Tanker,1963,"Kure, Japan",1/31/1975,1975,1,31,"Marcus Hook, PA",,,Collision w/ Edgar M Queeny,Steel,Liberia,"Monrovia, Liberia",Algeria,"Marcus Hook, PA",,,26,,17 mil gal crude oil,,#6400915; Refloated 1 year later
Coriolan,Coriolon,,Bark,1849,"Bremen, Germany",5/18/1854,1854,5,18,Squan Inlet S 3 mi,,,Stranded in fog,Wood,Germany,"Bremen, Germany","Bremen, Germany","New York, NY",,245,0,,Passengers & assorted cargo,,Refloated; no damage
Cornelia,,,,,,1757,1757,,,Cape May,,,Sank,,,,"Philadelphia, PA",Gibraltar,,,3,,,,
Cornelia M Kingsland,,,Schooner,1880,"Greenport, NY",11/23/1895,1895,11,23,Sandy Hook Romer Shoal,,,Stranded,Wood,US,"Greenport, NY","Fire Island, NY","New York, NY",9,,0,"$1,500",Fish,Sandy Hook,#125786; Total loss
Cornelia Soule,,,Schooner,1885,"Madison, CT",3/31/1887,1887,3,31,Brigantine LSS ESE 1.5 mi,,,Stranded,Wood,US,"New London, CT","Baltimore, MD","Cambridge, MA",6,,0,"$15,000",Coal,S Brigantine & Atlantic City,#126324; Partial loss; Refloated
Cornelius Grinnell (1853),,"Grinnell, Miniturn & Co",Packet ship,1850,"East Boston, MA",1/14/1853,1853,1,14,Squan Beach,,,Stranded,,US,"Boston, MA","London, England","New York, NY",,234,0,,General,Squan Beach #9,All saved by LSS crew w/ lifecar; Refloated
Cornelius Grinnell (1885),,Donald McKay,Barge,1850,"East Boston, MA",11/23/1885,1885,11,23,Highland Light S 5 mi,40-18.8 N,73-58.4 W,Foundered,,US,"New London, CT","Newport News, VA","New London, CT",3,,3,,170 ton coal,,#4830; Total loss
Cornelius Hargrave,,John F Allen,Schooner,1889,"Camden, ME",10/30/1890,1890,10,30,Barnegat Light E 8 mi,39-47-425 N,73-55-558 W,"Collision w/ ""Vizcaya""",Wood,US,"Fall River, MA","Philadelphia, PA","Fall River, MA",10,,0,"$62,000",2000 ton coal,,"#126583; Near ""Vizcaya"""
Cornell #20,,,Motor vessel,1893,,1/31/1953,1953,1,31,Highlands NE 3 mi,40-25-00 N,73-55-00 W,Foundered,,,,,,,,,,,,#120938; Sank
Corrotman,,,Barge,1890,,9/17/1924,1924,9,17,Delaware Bay Browns Shoal,,,Foundered,,,,,,,,,,,,
Corsica,,,Schooner - Barge,1865,"Thomaston, ME",11/27/1898,1898,11,27,Atlantic City,,,Foundered,Wood,US,"New York, NY","Norfolk, VA","Boston, MA",4,,4,,Coal,,#4896; Total loss
Corvallis,,First National Pictures,Freighter,1919,"Portland, OR",6/16/1925,1925,6,16,Surf City E 48 mi,39-39-00 N,73-13-00 W,Burned,Wood,US,"Portland, OR",,,,,0,,,,#218310; sunk as movie prop
Costa Rica,,Panama RR Co,Brig,1857,"Black Rock, CT",1/17/1869,1869,1,17,Squan Beach,40-02-45 N,74-02-40 W,Grounded,Wood,,"New York, NY",,"New York, NY",10,,0,"$10,000",Hides,,Refloated
Counter Point,,Gene DeMattes,Yacht motor,1972,"Holland, MI",7/3/1976,1976,7,3,Strathmere E 8 mi,,,Burned,,,"West Palm Beach, FL",,,,,,,,,#595996
County of Edinburgh,Freida,R & J Craig,Schooner,1885,"Glasgow, Scotland",2/12/1900,1900,2,12,Squan Beach LSS S 1.25 mi,,,Stranded,Iron,England,"Edinburgh, England","Cape Town, SA","New York, NY",29,,0,"$100,000",In ballast,Squan Beach & Bay Head,"#90060; Refloated; Eventually lost in 1916 as ""Freida"" "
Courageous,,McAllister Brothers Inc,Tug,1926,"Milford, DE",9/27/1953,1953,9,27,Ocean City E 9.5 mi,,,Foundered,,,"New York, NY",,,,,,,,,#226227; Total loss
Craigneuk,,Earn SS Co,Steamship,1898,"Port Glasgow, England",4/27/1904,1904,4,27,Brigantine Shoal SE 2.5 mi,,,Stranded,Steel,England,"Leith, England","Matanzas, Cuba","New York, NY",27,,0,"$200,000",Sugar,S Brigantine & Atlantic City,#109590; Refloated
Cranford,,Ashley Development Co,Ferry boat,,,3/1982,1982,3,,Sea Girt Artificial Reef Reef,40-07-447 N,73-56-227 W,Scuttled,Steel,US,NJ AR,SG,6,,,,,,,Had been restaurant on Manasquan River
Cremona,,,Bark,1867,"Mystic, CT",5/24/1881,1881,5,24,Point Pleasant LSS E 1.5 mi,,,Stranded in fog,Wood,US,"Boston, MA","Marseilles, France","New York, NY",13,,,,In ballast,Point Pleasant #10,#5506; Refloated
Creole (1852),,,Brig,,,10/23/1852,1852,10,23,Delaware Breakwater,,,Grounded,,,"Ellsworth, ME","Dighton, MA","Philadelphia, PA",,,,,,,Broke up
Creole (1868),,,Steamship,1862,"Mystic, CT",3/17/1868,1868,3,17,Squan Inlet S 3.5 mi,40-02-45 N,74-02-40 W,Stranded in fog,Wood,US,"New York, NY","Havana, Cuba","New York, NY",15,,,,,,#4883
Cretanan,,,Schooner,,,7/4/1865,1865,7,4,Barnegat,,,,,,,"New York, NY",,5,,0,,Lime,,
Cricket,,,Steamboat,,,1847,1847,,,Shrewsbury Inlet,,,Foundered,Iron,,,,,,,,,,,Total loss; Closed Shrewsbury Inlet
Crisis,,,Schooner,1858,"Melville, NJ",1/6/1872,1872,1,6,Sandy Hook,,,Burned,,US,"Great Egg Harbor, NJ",Virginia,"New York, NY",,,,,,,"Saved by ""W A Hennessy"""
Croatan,,Eastern Transportation Co,Barge,1901,"New Bern, NC",10/8/1940,1940,10,8,"Ship Bottom, NJ",39-37-18 N,74-10-30 W,Foundered,,,"Wilmington, DE",,Freight service,1,,0,,,,#16777; Total loss
Crusader (1842),,,Schooner,,,11/8/1841,1841,11,8,Squan Inlet bar,,,Struck bar,,,"Portsmouth, RI","Boston, MA","Portsmouth, RI",1,3,3,,,,Sank
Crusader (1988),,,Tug,,,9/23/1988,1988,9,23,Sandy Hook,,,Sank,,,,,,,,0,,Barge w/ 13.000 barrels low grade oil,,
Crystal,,Edward Conover,Motor vessel,1909,"St Joseph, MI",6/11/1925,1925,6,11,Absecon Inlet S 4 mi,,,Burned; Sank,Wood,,"Philadelphia, PA","Atlantic City, NJ",Fishing trip,2,25,5,"$5,500",None,,#206669
Crystal Wave,,E S Randle,Sidewheel steam,1875,"Greenpoint, NY",10/29/1889,1889,10,29,Delaware Capes,38-43-185 N,74-34-045 W,"Collision w/ ""Cleopatra""",Wood,US,"Georgetown, SC","New York, NY","Washington, DC",13,,0,"$45,000",,,Both ships sank
Cuba,,William Vaughan,Schooner,1870,"St George, New Brunswick",1/16/1879,1879,1,16,Ship Bottom LSS E .75 mi,,,Stranded,,England,"St John, NB, Canada ","Areciba, PR","New York, NY",6,,0,"$2,700",Molasses,Ship Bottom #20,#64497; Total loss
Culloden HMS,74 gun Frigate,British Navy,Frigate,1776,"Deptford, England",1/23/1781,1781,1,23,"Montauk, NY",41-4-205 N,71-57-383 W,Grounded,Wood,England,,"Newport, RI",Blockade Service,,,0,,74 guns; 70 cannons,,Small guns salvaged by British
Custus W Wright,,,Schooner,1871,"Drawbridge, DE",10/15/1905,1905,10,15,Barnegat Inlet NNE .75 mi,,,Grounded,,,"Perth Amboy, NJ","New York, NY","Hampton, VA",4,0,0,"$2,000",,Barnegat,#5892; Refloated
Cutelin Dall 'Orso,,M Dall Orso,Bark,1973,"Sestri, Italy ",10/17/1879,1879,10,17,Absecon Inlet E .25 mi,,,Stranded,,Italy,"Genoa, Italy","Marseilles, France","New York, NY",14,,0,"$20,000",In ballast,Absecon # 28,Refloated
Cybele,,,Schooner,,,9/11/1879,1879,9,11,Squan Inlet,,,Stranded,,,"South Amboy, NJ","Princess Bay, NY","Toms River, NJ",2,,0,$500,,Squan Beach #9,Refloated
Cyclone,,,Barge,1939,,5/10/1940,1940,5,10,"Timber Creek, NJ",,,Burned,,,,,,14,,0,,,,
Cyclops,,,Tug steam,1878,"Toltenville, NY",7/22/1886,1886,7,22,"Highlands, NJ",,,"Collision w/ tug ""Zouave""",Wood,US,"New York, NY",,,,,,,,,#125192
Cygnet,,,Steamship,1876,,12/20/1917,1917,12,20,"Shady Side, NJ",,,Burned,,,,,,5,,0,,,,#125511
Cynthia,,,Schooner,1906,"Vincent Cove, MA",4/20/1906,1906,4,20,Sandy Hook Romer Shoal,,,Stranded,,,"Gloucester, MA","New York, NY",Fishing service,,,,,90 bbls mackeral,,Refloated; Later sank 2/14/1914
D B Mayhew,,,Schooner,1871,"Bristol, ME",5/17/1895,1895,5,17,Barnegat Inlet,,,Stranded,,,"New York, NY",,,6,,0,"$1,000",Ice,Barnegat & Forked River,#6715; Refloated
D H Bills,China Wreck; USS Huron,Daniel Jones,Bark,1861,"Boston, MA",3/1880,1880,3,,Delaware Breakwater E 3.5 mi,,,Foundered in storm,Wood,England,"Newport, England","Chepstow, England","Wilmington, NC",13,,13,,"China, Salt",,Full of china & artifacts
D H Bisbee,,,Schooner,1866,"Damariscotta, ME",12/1/1875,1875,12,1,Barnegat SE 30 mi,,,In distress,,,"Camden, ME","Para, Brazil","New York, NY",,,,,,,Partial loss; Towed in
D H Ingraham,,,Schooner,1874,"Stockholm, ME",12/4/1886,1886,12,4,Hereford Inlet North bar,39-00-48 N,74-42-00 W,Stranded; Burned,,,"Rockland, ME","Rockland, ME","Richmond, VA",5,,0,"$8,000",Lime,Hereford Inlet,#6821
D J Whealton (1910),,,Schooner,1875,"Swausgut, VA",2/5/1910,1910,2,5,Little Beach LSS E 2 mi,,,Grounded,Wood,US,"Chincoteague, VA","Chincoteague, VA","Beach Haven, NJ",3,,0,"$3,000",Lumber,Little Beach,#6861; Refloated
D J Whealton (1911),,,Schooner,1875,"Swausgut, VA",4/7/1911,1911,4,7,Barnegat LSS N 1 mi,,,Grounded,Wood,US,"Chincoteague, VA","Cobb Island, VA","Barnegat, NJ",3,,0,"$3,000",Oysters,Barnegat,#6861; Refloated
D K Baker,,,Schooner 3 masted,1883,"Port Jefferson, NY",11/27/1898,1898,11,27,Sandy Hook SE 120 mi,,,Abandoned,Wood,US,"New York, NY","Charleston, SC",New Jersey,,,,,Railroad ties,,#157102
D M Anthony (1881),,,Schooner,1873,"Fall River, MA",12/27/1881,1881,12,27,Sandy Hook LSS NNE 1.5 mi,,,Stranded,Wood,US,"Taunton, MA","Baltimore, MD","Boston, MA",8,,0,"$25,000",Coal,Sandy Hook #1,#6798; Refloated
D M Anthony (1883),,,Schooner,1873,"Fall River, MA",11/13/1883,1883,11,13,Hereford Inlet North bar,,,Stranded,Wood,US,"Taunton, MA","Boston, MA","Philadelphia, PA",7,,0,"$25,000",General,Hereford Inlet #36,#6798; Refloated
D M Anthony (1895A),,,Schooner,1873,"Fall River, MA",1/13/1895,1895,1,13,Sandy Hook Romer Shoal,,,Stranded,Wood,US,"Boston, MA","Philadelphia, PA","Boston, MA",8,,0,"$25,000",Coal,Sandy Hook #1,#6798; Refloated
D M Anthony (1895B),,,Schooner,1873,"Fall River, MA",10/10/1895,1895,10,10,Forked River LSS N 1.75 mi,,,Stranded,Wood,US,"Boston, MA","Rockport, ME","Philadelphia, PA",6,,0,"$12,000",Paving stones,Cedar Creek,#6798; Refloated
D S Goodell,,,Bark,,,1/16/1856,1856,1,16,Squan Beach,,,Stranded,,,,"Rio de Janiero, Brazil","New York, NY",,,0,,,,Refloated 3/10/1856
D W McLean,,,Schooner,1883,"Norwalk, CT",3/9/1889,1889,3,9,Hereford Inlet South bar,,,Stranded,Wood,US,"New York, NY","Georgetown, SC","New York, NY",6,,0,"$25,000",Railroad ties,Hereford Inlet,#157085; Refloated undamaged
D W Saunders,,,Schooner,,,1857,1857,,,Squan Beach,,,Stranded,,,,"Beaufort, NC","New York, NY",5,,,"$11,100",,,Broke up
Daddy's Dream,,Arthur Goldstein,Cabin cruiser,,,8/12/1987,1987,8,12,Surf City E 1.5 mi,,,Burned,Fiberglass,US,,,Pleasure cruise,4,,0,,,,Sank
Daghestan,,Hindustan SS Co,Steam freighter,1900,"Sunderland, England",12/18/1908,1908,12,18,"Gedney Channel, NY Harbor entrance",,,"Collision w/ ""Catalone"" in fog",Iron,England,"Sunderland, England","New York, NY",Mediterranean Ports,35,,0,,Wheat,,Blown by USCG to gain clearance
Daisie,,,Schooner - Barge,1890,"Brooklyn, NY",1/6/1905,1905,1,6,"Seabright, NJ",,,Foundered,Wood,US,"Baltimore, MD","Newport News, VA","New Haven, CT",3,,,,Coal,,#130485; Broke away from tow
Daniel B Foster,,,Schooner,,,6/1857,1857,6,,Delaware Breakwater,,,Foundered,,,,"James River, VA","New York, NY",,,,"$5,000",,,
Daniel Holmes,,L H Hopkins,Schooner,1860,"Patchogue, NY",5/18/1872,1872,5,18,Barnegat,,,"Collision w/ ""George Washington""",Wood,US,"New York, NY","Baltimore, MD","Hoboken, NJ",,,2,,Coal,,Total loss
Daniel Pierson,,,Schooner,1866,"Waldoboro, ME",2/24/1877,1877,2,24,Sandy Hook,,,"Collision w/ ""Irvine""",,,"Boston, MA","Port Royal, SC","Boston, MA",,,,,,,#6082; Partial loss
Daniel W Baker,,,Schooner,,,5/17/1853,1853,5,17,Cape May,,,Foundered,,,"Portsmouth, VA",,,5,,0,,,,"Crew rescued by ""Banquet"""
Danville,,,Schooner,,,7/20/1864,1864,7,20,Highlands E 7 mi,,,Burned,,,"New York, NY","New York, NY","Port Royal, SC",7,,0,,Hay & oats,,"Total loss; Crew rescued by ""Gladiator"""
Daphne,Polly,,Motor vessel gas,1885,"Brooklyn, NY",7/4/1922,1922,7,4,Sandy Hook,,,Stranded,,,"New York, NY",,,7,,0,,,,#150526
Darby,,,Schooner - Barge,1899,"Bath, ME",2/5/1907,1907,2,5,Atlantic City,,,Foundered,Wood,US,"Fall River, MA",,,5,,0,,,,#151538
Darien,,Robert B Wathen,Barge,1914,"Wilmington, DE",5/5/1948,1948,5,5,Atlantic City E 4.9 mi,39-18-00 N,74-21-00 W,Foundered,Wood,US,"Baltimore, MD","Sands Point, MD",,4,,,,,,#212410
Dart,,,Privateer Schooner,,,1/19/1792,1792,1,19,"Toms River, NJ",,,Lost,,,,"Toms River, NJ",Privateer patrol,7,,7,,,,Never seen again
Dart (1903),,,Sloop,1892,"Atlantic City, NJ",9/16/1903,1903,9,16,Barnegat LSS NE 1.25 mi,,,Stranded,,US,"Somers Point, NJ","Bayhead, NJ","Barnegat, NJ",1,3,0,"$1,000",,,#157347; Refloated
Dart (1925),,,Steamship,1877,,3/29/1925,1925,3,29,"Greenville, NJ",,,Foundered,,,,,,,,,,,,#120294
Dashaway,,W. Heard,Brig,1859,"Prince Edward Island, CA",1/15/1863,1863,1,15,Pecks Beach,39-14-40 N,74-36-50 W,Stranded,,England,Prince Edward Island,"Messina, Sicily","Philadelphia, PA",,,,,Lemons & oranges,,date of loss 12/30/1862 ?
Dauntless,,,Sidewheel steam,1876,,10/13/1922,1922,10,13,"Gloucester, NJ",,,Burned,,,,,,0,0,0,,,,#6899
David A,,David A Corp,Fishing trawler,1946,"Thomaston, ME",3/25/1960,1960,3,25,Cape May E 65 mi,38-34-18 N,73-53-00 W,Burned,Wood,US,"New York, NY",,,12,0,0,"$80,000",,,"#251050; Sank; Crew rescued by ""Enterprise"""
David Atkins,,,Schooner,,"Absecon, NJ",4/22/1843,1843,4,22,,,,,,,"Provincetown, MA","Norfolk, VA","New York, NY",,,0,,,,
David Collins,,Golthwaite,Schooner,1866,"Philadelphia, PA",10/3/1875,1875,10,3,Townsends Inlet North bar,39-06-30 N,74-42-00 W,Grounded,,,"Philadelphia, PA","New York, NY","Washington, DC",7,0,0,"$10,000",Stone,Townsends Inlet #34,
David Crockett (1891),,Frank L. Neall,Schooner - Barge,1853,"Mystic, CT",1/30/1891,1891,1,30,Sandy Hook Swash Channel,,,Collision,Wood,US,"Philadelphia, PA","New York, NY","Norfolk, VA",5,0,0,"$3,300",,,#6268
David Crockett (1898),,Frank L. Neall,Schooner - Barge,1853,"Mystic, CT",4/12/1898,1898,4,12,Five Fathom Bank,,,Stranded,Wood,US,"Philadelphia, PA","Norfolk, VA","Hoboken, NJ",4,0,0,"$10,000",,,"#6268; In tow of ""Nathan Hale"""
David Crockett (1899),,Frank L. Neall,Schooner - Barge,1853,"Mystic, CT",2/11/1899,1899,2,11,Sandy Hook Flynns Knoll,,,Stranded,Wood,US,"Philadelphia, PA","Norfolk, VA","Hoboken, NJ",4,0,0,"$18,000",Coal,,#6268; Hull later blown up
David Duffel,,S C Hunt,Brig,1840,"Somers Point, NJ",11/21/1863,1863,11,21,,,,Stranded,,US,,"Boston, MA","Philadelphia, PA",,,,,,,
David G Floyd,,,Schooner,1855,"Greenport, NY",9/2/1886,1886,9,2,Hereford Inlet,,,,,US,"Newport, RI","Providence, RI","Philadelphia, PA",5,0,0,"$4,000",Iron & steel,Hereford Inlet LSS,#6245
David Milliken,,,Schooner,,"Philadelphia, PA",1/30/1878,1878,1,30,Little Egg Harbor bar,,,,,US,"Milford, DE","Baltimore, MD","Brooklyn, NY",5,0,0,"$12,000",Coal,Little Egg LSS,#6945; Refloated
David Mitchell #3 (1872),,,Pilot Schooner,,,4/9/1872,1872,4,9,Sandy Hook,,,Stranded,Wood,US,,"New York, NY",Pilot service,,,0,,,,Refloated on 4/18/1872
David Mitchell #3 (1873),,,Pilot Schooner,,,8/19/1873,1873,8,19,Sandy Hook Lightship ESE 8 mi,,,"Collision w/ ""W H  Aspinwall""",Wood,US,,"New York, NY",Pilot service,,,0,,,,Slight damage
David Rogers,,,Schooner,,,2/1845,1845,2,,,,,"Struck on the ""Flogger""",,,,"Philadelphia, PA","Jersey City, NJ",,,,,,,
David S Siner,,Macy,Schooner,1861,"Milford, DE",4/4/1872,1872,4,4,Barnegat,,,,,US,"Philadelphia, PA","Philadelphia, PA","Boston, MA",,,,,,,
David Smith,,,Schooner,,,1858,1858,,,New Jersey coast,,,,,,,"Philadelphia, PA","New York, NY",,,,"$5,000",,,
David Tolck,,John Zittlosen,Schooner,1873,"Millbridge, ME",2/26/1879,1879,2,26,Harvey Cedars,,,Stranded,,US,,"Sagua La Grande, Cuba","New York, NY",7,2,5,"$15,000",Sugar & Hogsheads,Barnegat,#6791; Rigging saved & sold in NY
Davis,,,Schooner - Barge,,,11/24/1901,1901,11,24,Squan Beach,,,Foundered,,,,"Philadelphia, PA","Fall River, MA",4,0,4,,Coal,,
Dawn,,,Steamship,1857,"Brooklyn, NY",12/27/1869,1869,12,27,Pecks Beach,,,Stranded,,,,,,,,,,,,"#2717; ""Eutaw"" at time of loss?"
Day,,,Bark,,,4/15/1847,1847,4,15,Sandy Hook Light S 2 mi,,,Stranded,,,,"Limerick, Ireland","New York, NY",,,,,,,
Daytona,,Southern Transportation Co,Schooner - Barge,1919,"Jacksonville, FL",10/10/1925,1925,10,10,Five Fathom Bank Lightship SE 12 mi,,,Foundered in gale,Wood,,"Philadelphia, PA","Norfolk, VA","New York, NY",5,0,0,"$60,000",Bituminous coal,,#219130; 4 of 5 crew on board
De Braak HMS,,British Navy,Sloop of war,1781,Netherlands,5/25/1798,1798,5,25,"Lewes, DE E 3 mi",,,Capsized in storm,Wood,England,,,"Halifax, NS",86,0,36,,Treasure,,Legend of Captured Spanish treasure
De Mora Gray,,,Schooner,1874,,11/8/1912,1912,11,8,Old Cranberry Inlet,36-56-20 N,74-04-00 W,,,,,,,,,,,,,Inlet is now Seaside Heights
De Mory Gray,,Brewster,Schooner,,,3/8/1874,1874,3,8,Barnegat N 6 mi,,,,,,"Brookhaven, NY","Ashley River, SC","New Haven, CT",,,,,Lumber,,Refloated
Deane,,P Bangs,Schooner,1845,"Provincetown, MA",4/8/1864,1864,4,8,,,,"Collision w/ ""W.S.Baker""",,US,,"Quincy, MA",Fortress Monroe,5,0,0,,Stone,,#1140
Debbie Sue,,Charles Weldon,Motor vessel,1945,"Washington, DC",11/12/1957,1957,11,12,Atlantic City SE 30 mi,38-54-16 N,74-30-42 W,Foundered,,US,"Philadelphia, PA","Lewes, DE",,3,0,3,,,Cape May,#248599; Fishing boat
Deborah,,,Schooner,,,1/21/1855,1855,1,21,Absecon,,,Struck a rock,,US,,"Washington, DC","New York, NY",,,,,,,
Deborah H Diverty,,,Schooner,1874,"Dennisville, NJ",6/26/1884,1884,6,26,Sea Isle City LSS E 12 mi,,,Foundered,,,"Dennisville, NJ","Richmond, VA","New York, NY",,,9,,Coal,Sea Isle City #34,#6844
Decation,,,Schooner,,,4/4/1836,1836,4,4,,,,,,US,"Tuckerton, NJ",,,,,0,,,,
Deceiver,,Joseph E Bennett,Schooner,1871,"Fish Creek, NJ",4/29/1884,1884,4,29,Barnegat Shoal,,,Grounded in storm,,,"Tuckerton, NJ","Hog Island, VA","Barnegat, NJ",3,,0,"$1,500",Oysters,,#6015; Total loss
Deepwater,,,Motor vessel gas,1896,,8/18/1932,1932,8,18,Little Egg Harbor,,,Burned,,,,,,9,,0,,,,#223096
Defiance,,"James W Allen, SR",Yacht gas,1924,,8/8/1972,1972,8,8,Wildwood Crest E 8 mi,,,Foundered,Wood,,"Philadelphia, PA",,,,,,,,,#223853
Delaware (1854),,,Steamship,,,4/14/1854,1854,4,14,Squan Inlet,,,Wrecked,,,,,,15,,,,,,
